company,environment_or_sustainability_report,sec_filings_or_governance
NVIDIA,https://www.nvidia.com/en-us/sustainability/,https://investor.nvidia.com/financial-info/sec-filings/
Microsoft,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,https://www.microsoft.com/en-us/Investor/sec-filings.aspx
Apple,https://www.apple.com/environment/,https://investor.apple.com/sec-filings/
Alphabet,https://sustainability.google/stories/,https://abc.xyz/investor/
Amazon,https://www.aboutamazon.com/about-us/amazon-reports,https://ir.aboutamazon.com/sec-filings/default.aspx
Meta,https://sustainability.atmeta.com/2025-sustainability-report/,https://investor.atmeta.com/financials/sec-filings/default.aspx
Tesla,https://www.tesla.com/impact,https://ir.tesla.com/sec-filings
